,detid,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage
217,4122011,2023-12-07T16:30:00.000+01:00,80,anyVehicle,53.28,carOrLightVehicle,3.0
218,4123011,2023-12-07T16:30:00.000+01:00,151,anyVehicle,20.88,carOrLightVehicle,29.0
219,4123012,2023-12-07T16:30:00.000+01:00,155,anyVehicle,10.44,carOrLightVehicle,56.0
220,4123013,2023-12-07T16:30:00.000+01:00,332,anyVehicle,27.72,carOrLightVehicle,32.0
221,4123014,2023-12-07T16:30:00.000+01:00,284,anyVehicle,34.56,carOrLightVehicle,22.0
222,4123021,2023-12-07T16:30:00.000+01:00,310,anyVehicle,46.8,carOrLightVehicle,15.0
223,4123022,2023-12-07T16:30:00.000+01:00,228,anyVehicle,47.52,carOrLightVehicle,11.0
224,4123023,2023-12-07T16:30:00.000+01:00,245,anyVehicle,48.24,carOrLightVehicle,11.0
225,4124011,2023-12-07T16:30:00.000+01:00,154,anyVehicle,44.28,carOrLightVehicle,8.0
226,4124021,2023-12-07T16:30:00.000+01:00,146,anyVehicle,13.32,carOrLightVehicle,50.0
227,4124022,2023-12-07T16:30:00.000+01:00,33,anyVehicle,24.48,carOrLightVehicle,0.0
228,4124031,2023-12-07T16:30:00.000+01:00,275,anyVehicle,37.44,carOrLightVehicle,22.0
229,4125011,2023-12-07T16:30:00.000+01:00,170,anyVehicle,33.12,carOrLightVehicle,26.0
230,4125021,2023-12-07T16:30:00.000+01:00,297,anyVehicle,34.92,carOrLightVehicle,21.0
231,4125031,2023-12-07T16:30:00.000+01:00,321,anyVehicle,41.04,carOrLightVehicle,21.0
232,4126011,2023-12-07T16:30:00.000+01:00,200,anyVehicle,52.56,carOrLightVehicle,8.0
233,4126012,2023-12-07T16:30:00.000+01:00,101,anyVehicle,55.8,carOrLightVehicle,4.0
234,4126021,2023-12-07T16:30:00.000+01:00,254,anyVehicle,51.12,carOrLightVehicle,13.0
235,4126022,2023-12-07T16:30:00.000+01:00,281,anyVehicle,54.0,carOrLightVehicle,12.0
236,4126031,2023-12-07T16:30:00.000+01:00,187,anyVehicle,42.12,carOrLightVehicle,10.0
237,4127011,2023-12-07T16:30:00.000+01:00,27,anyVehicle,29.88,carOrLightVehicle,1.0
238,4127021,2023-12-07T16:30:00.000+01:00,390,anyVehicle,39.24,carOrLightVehicle,25.0
239,4127022,2023-12-07T16:30:00.000+01:00,398,anyVehicle,44.28,carOrLightVehicle,21.0
240,4127031,2023-12-07T16:30:00.000+01:00,321,anyVehicle,27.0,carOrLightVehicle,29.0
241,4127032,2023-12-07T16:30:00.000+01:00,391,anyVehicle,27.36,carOrLightVehicle,36.0
242,4127041,2023-12-07T16:30:00.000+01:00,38,anyVehicle,48.96,carOrLightVehicle,1.0
243,4128011,2023-12-07T16:30:00.000+01:00,180,anyVehicle,37.08,carOrLightVehicle,11.0
244,4128021,2023-12-07T16:30:00.000+01:00,164,anyVehicle,38.52,carOrLightVehicle,9.0
245,4129011,2023-12-07T16:30:00.000+01:00,112,anyVehicle,24.84,carOrLightVehicle,13.0
246,4129012,2023-12-07T16:30:00.000+01:00,165,anyVehicle,25.92,carOrLightVehicle,23.0
247,4129021,2023-12-07T16:30:00.000+01:00,108,anyVehicle,37.44,carOrLightVehicle,6.0
248,4129022,2023-12-07T16:30:00.000+01:00,215,anyVehicle,38.52,carOrLightVehicle,11.0
249,4130011,2023-12-07T16:30:00.000+01:00,195,anyVehicle,42.84,carOrLightVehicle,11.0
250,4130021,2023-12-07T16:30:00.000+01:00,148,anyVehicle,48.96,carOrLightVehicle,6.0
251,4131011,2023-12-07T16:30:00.000+01:00,189,anyVehicle,59.4,carOrLightVehicle,6.0
252,4131012,2023-12-07T16:30:00.000+01:00,128,anyVehicle,66.24,carOrLightVehicle,4.0
253,4131021,2023-12-07T16:30:00.000+01:00,184,anyVehicle,59.76,carOrLightVehicle,6.0
254,4131022,2023-12-07T16:30:00.000+01:00,127,anyVehicle,65.88,carOrLightVehicle,4.0
255,4132011,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
256,4132012,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
257,4132013,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
258,4132014,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
259,4132021,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
260,4132022,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
261,4132023,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
262,4132024,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
263,4132025,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
264,4133011,2023-12-07T16:30:00.000+01:00,125,anyVehicle,38.88,carOrLightVehicle,7.0
